ANNO;RENDIMENTO
2014;0.1268
2014;-0.0504
2014;0.0374
2014;-0.0077
2014;0.1289
2014;0.0847
2014;0.3528
2014;0.064
2014;0.0033
2014;0.2828
2014;0.1061
2014;0.0647
2014;0.0013
2014;0.0442
2014;0.0249
2014;0.0426
2014;0.07
2014;0.1306
2014;0.1324
2014;0.1699
2014;0.3509
2014;0.3942
2014;0.049
2014;0.216
2014;0.0892
2014;0.1047
2014;0.1877
2014;0.1487
2014;0.1712
2014;0.132
2014;0.0447
2014;0.0379
2014;0.0299
2014;0.0467
2014;0.0579
2014;0.0869
2014;0.024
2014;0.2899
2014;0.0852
2014;0.0454
2014;0.298
2014;0.0841
2014;0.0383
2014;0.0717
2014;0.0489
2015;0.07
2015;-0.1501
2015;0.0034
2015;-0.087
2015;0.0148
2015;0.1065
2015;0.2154
2015;0.093
2015;-0.0145
2015;0.1211
2015;-0.0914
2015;0.0039
2015;0.0038
2015;-0.0485
2015;0.0938
2015;-0.0186
2015;0.0079
2015;0.0084
2015;0.0099
2015;0.329
2015;0.2152
2015;0.0268
2015;0.085
2015;0.176
2015;-0.2433
2015;-0.0594
2015;-0.0003
2015;0.0462
2015;0.0475
2015;0.0101
2015;0.0682
2015;-0.0056
2015;0.0159
2015;-0.0102
2015;-0.0064
2015;0.0158
2015;0.1172
2015;0.1261
2015;-0.0064
2015;0.0688
2015;0.131
2015;0.0845
2015;-0.0188
2015;0.0961
2015;0.1024
2016;0.1091
2016;0.0873
2016;0.0234
2016;0.0775
2016;0.0335
2016;0.0208
2016;0.0994
2016;0.021
2016;0.1903
2016;0.1429
2016;0.2016
2016;0.0244
2016;-0.0307
2016;0.2077
2016;0.0675
2016;0.0468
2016;0.0847
2016;0.1145
2016;0.1154
2016;-0.0111
2016;0.0993
2016;-0.001
2016;0.027
2016;0.03
2016;0.2518
2016;0.1384
2016;0.0875
2016;0.0055
2016;0.1413
2016;0.1154
2016;0.0473
2016;0.0805
2016;0.0114
2016;0.0751
2016;0.0667
2016;0.0093
2016;0.0865
2016;0.1513
2016;0.0633
2016;0.0422
2016;0.148
2016;0.0009
2016;0.0653
2016;0.0183
2016;0.0466
2017;0.1091
2017;0.0873
2017;0.0234
2017;0.0775
2017;0.0335
2017;0.0208
2017;0.0994
2017;0.021
2017;0.1903
2017;0.1429
2017;0.2016
2017;0.0244
2017;-0.0307
2017;0.2077
2017;0.0675
2017;0.0468
2017;0.0847
2017;0.1145
2017;0.1154
2017;-0.0111
2017;0.0993
2017;-0.001
2017;0.027
2017;0.03
2017;0.2518
2017;0.1384
2017;0.0875
2017;0.0055
2017;0.1413
2017;0.1154
2017;0.0473
2017;0.0805
2017;0.0114
2017;0.0751
2017;0.0667
2017;0.0093
2017;0.0865
2017;0.1513
2017;0.0633
2017;0.0422
2017;0.148
2017;0.0009
2017;0.0653
2017;0.0183
2017;0.0466
2018;-0.0468
2018;-0.0715
2018;-0.0066
2018;-0.1043
2018;0.0057
2018;-0.1071
2018;0.0465
2018;-0.106
2018;-0.0883
2018;-0.0009
2018;-0.0992
2018;0.0101
2018;-0.2563
2018;-0.1142
2018;-0.187
2018;-0.0162
2018;-0.1441
2018;-0.0457
2018;-0.0472
2018;-0.0358
2018;0.0463
2018;-0.0424
2018;-0.122
2018;-0.072
2018;0.2195
2018;-0.1101
2018;-0.1163
2018;-0.0155
2018;-0.0186
2018;-0.0447
2018;-0.1154
2018;-0.0352
2018;0.0134
2018;-0.0863
2018;-0.0921
2018;0.0081
2018;-0.0819
2018;0.0026
2018;-0.0383
2018;-0.135
2018;-0.005
2018;-0.0721
2018;-0.1007
2018;-0.1063
2018;-0.124
2019;0.3147
2019;0.1156
2019;0.0261
2019;0.1819
2019;0.0656
2019;0.2026
2019;0.414
2019;0.2639
2019;0.1718
2019;0.3342
2019;0.2095
2019;0.0082
2019;0.1422
2019;0.2497
2019;0.2479
2019;0.0855
2019;0.1874
2019;0.3137
2019;0.3102
2019;0.2236
2019;0.4139
2019;0.0773
2019;0.2865
2019;0.2248
2019;-0.058
2019;0.1963
2019;0.2084
2019;0.1049
2019;0.4975
2019;0.3137
2019;0.2886
2019;0.0937
2019;0.0581
2019;0.2792
2019;0.2853
2019;0.0846
2019;0.302
2019;0.3374
2019;0.1706
2019;0.3165
2019;0.3504
2019;0.2963
2019;0.333
2019;0.2696
2019;0.2622
2020;0.2126
2020;0.0171
2020;0.0097
2020;0.0638
2020;0.0486
2020;0.1789
2020;0.3617
2020;-0.0319
2020;-0.1164
2020;0.1085
2020;0.0347
2020;0.007
2020;-0.2475
2020;0.1943
2020;0.0296
2020;0.113
2020;-0.1723
2020;0.1837
2020;0.1802
