ANNO COVID;INFLUENZA
 0.1775 ;+
 0.2073 ;+
 0.0267 ;=
 0.0111 ;=
 0.0655 ;=
 0.0501 ;=
 0.1780 ;+
 0.3658 ;+
-0.0333 ;=
-0.0320 ;=
-0.1621 ;-
 0.1154 ;+
-0.1158 ;-
 0.0165 ;=
 0.1075 ;+
 0.0707 ;=
 0.1590 ;+
 0.0638 ;=
 0.0601 ;=
-0.0321 ;=
-0.1087 ;-
 0.1053 ;+
 0.0854 ;=
 0.1777 ;+
 0.0793 ;=
 0.4237 ;+
 0.0347 ;=
 0.0086 ;=
-0.2442 ;-
 0.1996 ;+
 0.0283 ;=
 0.1599 ;+
 0.1000 ;=
 0.0380 ;=
 0.1130 ;+
-0.0496 ;=
-0.0102 ;=
 0.0803 ;=
 0.0803 ;=
 0.1612 ;+
-0.0199 ;=
