ISIN;INDICE_ETF;RENDIMENTO ANNUALE MEDIO ETF;INDICE;RENDIMENTO ANNUALE MEDIO INDICE
IE00B4L60045;Bloomberg Euro Corporate 1-5 Year Bond; 0.0080 ;Bloomberg Euro Corporate 1-5 Year Bond; 0.0100 
IE00B7LW6Y90;Bloomberg Italy Treasury Bond; 0.0257 ;Bloomberg Italy Treasury Bond; 0.0278 
IE00B1FZSC47;Bloomberg US Government Inflation-Linked Bond; 0.0255 ;Bloomberg US Government Inflation-Linked Bond; 0.0269 
FR0007052782;CAC 40; 0.0967 ;CAC 40; 0.0991 
DE0005933931;DAX®; 0.0619 ;DAX®; 0.0616 
DE0006289465;eb.rexx® Government Germany; 0.0012 ;eb.rexx® Government Germany; 0.0273 
IE0008471009;EURO STOXX 50; 0.0779 ;EURO STOXX 50; 0.0724 
LU1681047236;EURO STOXX 50; 0.0781 ;EURO STOXX 50; 0.0724 
FR0012739431;EURO STOXX 50® (NR) Reinvested Dividends; 0.0768 ;EURO STOXX 50® (NR) Reinvested Dividends; 0.0722 
IE0005042456;FTSE 100; 0.0573 ;FTSE 100; 0.0582 
LU0950381748;FTSE EPRA/NAREIT Eurozone Capped (EUR) NR; 0.0534 ;FTSE EPRA/NAREIT Eurozone Capped (EUR) NR; 0.0528 
IE00B1FZS350;FTSE EPRA/NAREIT Global Dividend+; 0.0518 ;FTSE EPRA/NAREIT Global Dividend+; 0.0522 
IE00B0M63060;FTSE UK Dividend+; 0.0376 ;FTSE UK Dividend+; 0.0441 
IE00B66F4759;iBoxx EUR Liquid High Yield; 0.0274 ;iBoxx EUR Liquid High Yield; 0.0301 
IE0032895942;iBoxx USD Liquid Investment Grade; 0.0353 ;iBoxx USD Liquid Investment Grade; 0.0365 
LU0290355717;iBoxx® EUR Sovereigns Eurozone; 0.0146 ;iBoxx® EUR Sovereigns Eurozone; 0.0160 
IE00B3VWN393;ICE US Treasury 3-7 Year; 0.0137 ;ICE US Treasury 3-7 Year; 0.0147 
IE00B1FZS798;ICE US Treasury 7-10 Year; 0.0184 ;ICE US Treasury 7-10 Year; 0.0189 
IE00B5M4WH52;JP Morgan EMBI Global Diversified 10% Cap 1% Floor;-0.0006 ;JP Morgan EMBI Global Diversified 10% Cap 1% Floor; 0.0069 
LU0446734872;MSCI Canada; 0.0748 ;MSCI Canada; 0.0758 
FR0010429068;MSCI Emerging Markets; 0.0493 ;MSCI Emerging Markets; 0.0563 
LU1681044480;MSCI Emerging Markets Asia; 0.0685 ;MSCI Emerging Markets Asia; 0.0730 
IE00B53QG532;MSCI EMU; 0.0756 ;MSCI EMU; 0.0712 
LU1291099718;MSCI Europe ESG Filtered Min TE; 0.0705 ;MSCI Europe ESG Filtered Min TE; 0.0696 
IE00B52VJ196;MSCI Europe SRI Select Reduced Fossil Fuels; 0.0834 ;MSCI Europe SRI Select Reduced Fossil Fuels; 0.0827 
FR0010361683;MSCI India; 0.1150 ;MSCI India; 0.1326 
IE00B52MJY50;MSCI Pacific ex Japan; 0.0431 ;MSCI Pacific ex Japan; 0.0446 
IE00B60SX170;MSCI USA; 0.1341 ;MSCI USA; 0.1251 
LU1681042864;MSCI USA ESG Leaders Select 5% Issuer Capped; 0.1492 ;MSCI USA ESG Leaders Select 5% Issuer Capped; 0.1487 
IE00B60SX394;MSCI World; 0.0968 ;MSCI World; 0.0963 
LU2572257124;MSCI World III; 0.0978 ;MSCI World III; 0.0969 
LU1681038243;Nasdaq 100®; 0.2237 ;Nasdaq 100®; 0.2283 
LU1829221024;Nasdaq 100®; 0.2233 ;Nasdaq 100®; 0.2283 
LU0839027447;Nikkei 225®; 0.0988 ;Nikkei 225®; 0.0984 
IE00B60SX402;Russell 2000®; 0.0774 ;Russell 2000®; 0.0822 
FR0011550185;S&P 500 Composite (NR); 0.1550 ;S&P 500 Composite (NR); 0.1501 
LU0496786574;S&P 500 Net Total Return Index; 0.1535 ;S&P 500 Net Total Return Index; 0.1489 
IE00B1TXK627;S&P Global Water; 0.0974 ;S&P Global Water; 0.1018 
IE00B3VSSL01;S&P Select Sector Capped 20% Technology; 0.2245 ;S&P Select Sector Capped 20% Technology; 0.2250 
LU1681049018;S&P500; 0.1285 ;S&P500; 0.1249 
IE00B5BMR087;S&P500; 0.1274 ;S&P500; 0.1249 
IE00B3YCGJ38;S&P500; 0.1290 ;S&P500; 0.1249 
IE00B60SWW18;STOXX Europe 600; 0.0738 ;STOXX Europe 600; 0.0732 
DE000A0F5UJ7;STOXX® Europe 600 Banks; 0.0406 ;STOXX® Europe 600 Banks; 0.0383 
DE0005933972;TecDAX®; 0.1214 ;TecDAX®; 0.1257 
