ISIN	NOME ETF	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	INDICE	TER	INDICE DI RISCHIO	TIPO DI REPLICA	DIMENSIONE DEL FONDO (mld)	RENDIMENTO MEDIO (ANNUALE)	RENDIMENTO CUMULATIVO	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	SCARTO ANNUALE MEDIO
IE00B60SX170	Invesco MSCI USA UCITS ETF	 0,1268 	 0,0700 	 0,1091 	 0,2118 	-0,0468 	 0,3147 	 0,2126 	 0,2686 	-0,1953 	 0,2695 	MSCI USA	 0,0005 	5	sintetica	4,295	 0,1341 	 2,19118 	-0,0001	0,0631	0,0002	-0,0001	0,0036	0,0059	0,0053	0,0041	0,0032	0,0046	0,00898
IE00B5M4WH52	iShares J.P. Morgan EM Local Government Bond UCITS ETF	-0,0504 	-0,1501 	 0,0873 	 0,1407 	-0,0715 	 0,1156 	 0,0171 	-0,1036 	-0,1115 	 0,1208 	JP Morgan EMBI Global Diversified 10% Cap 1% Floor	 0,0050 	3	a campionamento	3,414	-0,0006 	-0,05861 	-0,0039	-0,0051	-0,0091	-0,0109	-0,0092	-0,01	-0,0096	-0,0062	-0,0058	-0,0052	-0,0075
IE00B4L60045	iShares EUR Corporate Bond 1-5yr UCITS ETF EUR (Dist)	 0,0374 	 0,0034 	 0,0234 	 0,0096 	-0,0066 	 0,0261 	 0,0097 	-0,0031 	-0,0823 	 0,0619 	Bloomberg Euro Corporate 1-5 Year Bond	 0,0020 	2	a campionamento	3,630	 0,0080 	 0,07537 	-0,0022	-0,0024	-0,0026	-0,002	-0,0019	-0,0016	-0,0014	-0,0023	-0,0023	-0,002	-0,00207
IE00B52MJY50	iShares Core MSCI Pacific ex Japan UCITS ETF (Acc)	-0,0077 	-0,0870 	 0,0775 	 0,2584 	-0,1043 	 0,1819 	 0,0638 	 0,0465 	-0,0610 	 0,0626 	MSCI Pacific ex Japan	 0,0020 	4	fisica totale	2,546	 0,0431 	 0,44453 	-0,003	-0,0023	-0,001	-0,0004	-0,0013	-0,0017	-0,0017	-0,0003	-0,0016	-0,0018	-0,00151
LU0290355717	Xtrackers II Eurozone Government Bond UCITS ETF 1C	 0,1289 	 0,0148 	 0,0335 	-0,0007 	 0,0057 	 0,0656 	 0,0486 	-0,0359 	-0,1855 	 0,0706 	iBoxx¨ EUR Sovereigns Eurozone	 0,0009 	2	a campionamento	2,044	 0,0146 	 0,11778 	-0,0016	-0,0015	-0,0016	-0,0015	-0,0016	-0,0018	-0,0015	-0,0015	-0,0011	-0,0009	-0,00146
LU0839027447	Xtrackers Nikkei 225 UCITS ETF 1D	 0,0847 	 0,1065 	 0,0208 	 0,2099 	-0,1071 	 0,2026 	 0,1789 	 0,0631 	-0,0766 	 0,3051 	Nikkei 225¨	 0,0009 	5	fisica totale	1,961	 0,0988 	 1,40414 	-0,0011	0,0004	0,001	0,0001	0,0002	0,0006	0,0009	0	0,0009	0,0011	0,00041
LU1681038243	Amundi Nasdaq 100 UCITS ETF EUR (C)	 0,3528 	 0,2154 	 0,0994 	 0,1645 	 0,0465 	 0,4140 	 0,3617 	 0,3688 	-0,2811 	 0,4950 	Nasdaq 100¨	 0,0023 	5	sintetica	1,135	 0,2237 	 5,23976 	-0,0069	-0,0071	-0,0054	-0,0037	-0,0043	-0,0062	-0,0041	-0,0031	-0,0016	-0,0038	-0,00462
LU1291099718	BNP Paribas Easy MSCI Europe ESG Filtered Min TE UCITS ETF	 0,0640 	 0,0930 	 0,0210 	 0,1030 	-0,1060 	 0,2639 	-0,0319 	 0,2535 	-0,1165 	 0,1606 	MSCI Europe ESG Filtered Min TE	 0,0015 	4	fisica totale	0,853	 0,0705 	 0,84139 	-0,002	0	0	0	0	0,0028	0,0014	0,0023	0,0019	0,002	0,00084
IE0005042456	iShares Core FTSE 100 UCITS ETF (Dist)	 0,0033 	-0,0145 	 0,1903 	 0,1194 	-0,0883 	 0,1718 	-0,1164 	 0,1831 	 0,0462 	 0,0780 	FTSE 100	 0,0007 	4	fisica totale	14,407	 0,0573 	 0,65938 	-0,0039	-0,0011	-0,0001	0,0003	-0,0006	-0,001	-0,0006	-0,0009	-0,0005	-0,001	-0,00094
LU1681042864	Amundi PEA MSCI USA ESG Leaders UCITS ETF EUR (C)	 0,2828 	 0,1211 	 0,1429 	 0,0667 	-0,0009 	 0,3342 	 0,1085 	 0,3619 	-0,1455 	 0,2200 	MSCI USA ESG Leaders Select 5% Issuer Capped	 0,0035 	5	fisica totale	0,679	 0,1492 	 2,67821 	-0,0005	-0,0005	0,0008	0,0022	0,0016	0,0014	0,001	0,0013	0,0004	-0,0027	0,0005
